SINIF,YORUM
Thunderstorm Wind,Trees were downed off Maple Ave in Glenville due to thunderstorm winds.
Strong Wind,
Strong Wind,
Strong Wind,
Hail,
Hail,
Hail,
Winter Weather,Three to four inches of snow in the far northern portion of the county with less than an inch in the south. Less than 0.10 inches of ice accumulation during this storm.
Winter Weather,Two to four inches of snow in the northern portion of the county with one to two inches in the south. 0.10-0.25 inches of ice accumulation during this storm.
Winter Weather,Two to four inches of snow in the northern portion of the county with one to two inches in the south. 0.10-0.20 inches of ice accumulation during this storm.
Winter Storm,Between 4 and 7 inches of snow was reported around the county.
Flood,Flooding was reported at Patterson on the Cache River.
Hail,Quarter size hail was reported near Mechanicsville.
Hail,
Hail,Tea cup size hail was reported northwest of South Hill.
Hail,Golf ball size hail was reported.
Hail,Quarter size hail was reported near Jetersville.
Hail,Quarter size hail was reported.
Hail,Quarter size hail was reported.
Winter Storm,Several trained observers reported 8 to 12 inches of snow in a 9 hour period.
Winter Storm,Several trained observers reported 8 to 12 inches of snow in a 9 hour period.
Tornado,This tornado initially developed in northern Kearny County at 19:10 CST before moving into Wichita County and finally in Scott County as it was weakening and moving east.
Tornado,A pivot irrigation sprinkler was damaged by the tornado.
Tornado,This was a weak tornado.
Hail,Quarter size hail was reported in Hedley.
High Wind,
High Wind,
Winter Storm,
Winter Weather,Snowfall totals were generally between 1 inch and 3 inches across the county. Newville reported 2.2 inches of snow. Templeton (1 N) and Disputanta (3 NW) reported 2.0 inches of snow.
Winter Weather,Snowfall totals were generally between 1 inch and 3 inches across the county. Courtland (3 SW) reported 2.0 inches of snow. City of Franklin reported 1.3 inches of snow.
Winter Weather,Snowfall totals were generally between 1 inch and 2 inches across the county. Surry reported 1.8 inches of snow.
Strong Wind,Emergency management reported downed tree limbs at Parker Avenue and Valley Street in Maplewood at 1041 pm. The roads were closed as a result.
Thunderstorm Wind,A 58 mph wind gust was measured at the West Texas Mesonet site located 15 miles north-northwest of Amarillo.
Strong Wind,At Teterboro Airport
High Wind,At 1145 pm on the 24th
Winter Storm,The public and trained spotters reported snowfall ranging from 20 to 31 inches.
Drought,The Household Water Supply Shortage Reporting System indicated there were some homes without well water due to dry wells with 28 in Glenn County
Winter Storm,Trained spotters and the public reported snowfall of 17 to 24 inches.
Winter Storm,Trained spotters and the public reported snowfall of 16 to 18 inches. Also
Winter Storm,An NWS employee
Heavy Snow,Snowfall of 7 to 9 inches fell around Thayne and Star Valley Ranch.
Heavy Snow,Estimated report from 7NNW Devils Postpile SNOTEL of 22.0 inches of snowfall for storm total.
Tornado,The tornado began just off of Highway 540 west of Raleigh snapping a few trees. It continued across Court House Square
Hail,Nickel to quarter sized hail occurred on 1267 Main Street.
Hail,Quarter sized hail occurred in Pleasant Hill.
Hail,A thunderstorm tracked across the northern part of the county and produced a swath of large hail. The storm initially produced quarter to golfball size hail in Caseyville. Golfball sized hail also fell near Lloyd Star at the attendance center on Highway 550. The largest hail that fell was lime size
Hail,Nickel to quarter sized hail occurred along Interstate 55 just west of Wesson.
Thunderstorm Wind,Power lines were blown down
Thunderstorm Wind,Numerous trees were blown down as well as power outages in Vicksburg. There was siding blown off and wind damage to roofs on Highway 61S.
Thunderstorm Wind,Trees were blown down on Highway 859
Thunderstorm Wind,A tree was blown down on a house along Cayuga Road.
Hail,
Hail,A power outage had occurred northeast of Conehatta.
Tornado,This tornado began just east of US Highway 165 and north of Gibson Rd where a 120 ft tall radio antenna was blown over. The tornado continued north paralleling Highway 165. The tornado reached its strongest point just south of Bullock Rd
Flash Flood,There was street flooding in the city which included on North Main Street
Heavy Snow,
Heavy Snow,
Heavy Snow,
Heavy Snow,
Heavy Snow,
Tornado,A tornado touched down on the Scott County side of the Wapsipinicon River and quickly cross the river into Clinton County.  Damage was mainly to trees.  The wind speeds with this tornado were estimated at 80 mph.
Tornado,A tornado touched down on the Scott County side of the Wapsipinicon River and quickly crossed the river into Clinton County.  Damage was mainly to trees.  The wind speeds with this tornado were estimated at 80 mph.
Tornado,An EF-1 tornado with winds estimated at 90 mph hit a mobile home park
Tornado,An EF-1 tornado with winds estimated at 95 mph tracked northeast across Clinton County
Tornado,An EF-2 tornado with winds estimated at 115 mph touched down north of Good Hope Illinois in McDonough County.  It traveled northeast
Flash Flood,Highway 17 south of Carrollton had water across the road. Water also was up to the doors of several homes in the Browning Subdivision west of Carrollton which resulted in the evacuation of some residents. Another evacuation occurred along county road 148.
Hail,
Hail,Nickel to quarter sized hail fell in Union.
Hail,Golf ball sized hail occurred on Union Madden Road.
Thunderstorm Wind,Emergency management officials reported the south half of a home was lifted and placed on the north side of the home. There was no indication of other damage to the home.
Tornado,Damage patterns within a 6 miles swath indicate a tornado was likely skipping along its track. Touchdown occurred south of US-24 between South County Road 600 West and 500 West where a barn was destroyed with debris being carried several miles to the northeast. The tornado remained over mainly open fields until pushing over several steel power poles at their base east of the intersection of US-24 and South County Road 500 West.  A large pole barn suffered moderate rood damage as winds entered a gap on the bottom of the structure. A home suffered minor roof damage near the intersection of West County Road 100 North and North County Road 300 West. Other damage was found northeast of this location
Thunderstorm Wind,The automated weather observation system at South Bend Regional Airport measured a 61 mph wind gust.
Hail,
Hail,
Flood,Heavy rain caused street flooding to occur in Charles City.
Flash Flood,Heavy rain caused Cranes Creek to go out of its banks in several locations across western Howard County.
Flash Flood,Heavy rains caused Cranes Creek to go out of its banks and over State Highway 9 west of Davis Corners. Cars were reported to be driving into the flood waters.
Flash Flood,Heavy rain resulting in flash flooding in Weakley County. As a result Hyndsver Road near Martin was flooded.
Flash Flood,Heavy rain caused flash flooding in Weakley County. As a result the intersection of Cotton Creek Road and Clay Pit Road was flooded.
Flash Flood,Heavy rain resulted in flash flooding across Benton County. Valentine Branch Road in Big Sandy was closed due to a washed out culvert. Old Highway 70 was closed along with Fern Street in Camden. Liberty Church Road was covered with water. Washington Street was also closed.
High Wind,A wind gust of 59 mph was recorded at the Upper Musselshell Agrimet site.
Hail,
Tornado,An EF-2 tornado with winds estimated between 110-115 mph touched down just west of Highway 69 near the intersection of Mayor Street. As it crossed Highway 69
Hail,Quarter size hail fell and covered the ground in Sterlington.
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Thunderstorm Wind,Estimated 100 mph winds uprooted and snapped numerous trees
High Surf,A pontoon boat capsized west of Sebastian Inlet near the Indian River Lagoon. North winds and an outgoing tide combined to create rough seas. When the boat capsized
Thunderstorm Wind,Trees were blown down across roads in rural areas.
High Wind,High winds blew the cover off a pool
High Wind,Several small tree limbs were blown down 8 miles east of Petersburg at around 1:15 PM CDT.
Hail,
Hail,
Thunderstorm Wind,Numerous trees and power lines were downed.
Flash Flood,Numerous streets were flooding near Highway 82 in Lewisville.
Hail,
Hail,
Hail,
Hail,
Hail,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
Flood,Sections of Utah Rd were flooded.
Flood,Areas near the Kellogg/Cypress Rd. Intersection were flooded 3 feet deep.
Hail,The report was relayed from a storm spotter.
Hail,The report was relayed from a trained spotter.
Thunderstorm Wind,A total of 13 power poles were snapped along 291st Rd. from 272nd to 282nd roads. This was a delayed report.
Marine Thunderstorm Wind,A cold front in southern New York moved slowly south across the coastal waters during the late afternoon and evening hours on the 26th
Marine Thunderstorm Wind,A cold front in southern New York moved slowly south across the coastal waters during the late afternoon and evening hours on the 26th
Marine Thunderstorm Wind,A cold front in southern New York moved slowly south across the coastal waters during the late afternoon and evening hours on the 26th
